administrative,administrative_duration,informational,informational_duration,product_related,product_related_duration,bounce_rates,exit_rates,page_values,special_day,months,os,browser,region,traffic_type,visitor_type,weekend,revenue
3,87.8333,0,0,27,798.333,0,0.0126437,22.916,0.8,Feb,2,2,3,1,Returning_Visitor,FALSE,TRUE
10,1005.67,0,0,36,2111.34,0.00434783,0.0144928,11.4394,0,Feb,2,6,1,2,Returning_Visitor,FALSE,TRUE
4,61,0,0,19,607,0,0.0269841,17.536,1,Feb,1,1,7,4,Returning_Visitor,TRUE,TRUE
9,111.5,1,48.5,49,1868.82,0,0.0207089,1.70601,0,Mar,2,2,7,2,Returning_Visitor,FALSE,TRUE
2,56,1,144,67,2563.78,0,0.0057971,19.3426,0,Mar,2,2,4,2,New_Visitor,FALSE,TRUE
0,0,0,0,17,840.233,0,0.00166667,109.176,0,Mar,2,2,9,2,New_Visitor,FALSE,TRUE
3,94,2,125,55,1970.84,0,0.00172414,96.2551,0,Mar,2,4,1,2,New_Visitor,TRUE,TRUE
1,32,0,0,50,2867,0,0.004,153.443,0,Mar,2,2,7,8,Returning_Visitor,TRUE,TRUE
1,18,0,0,16,1331.75,0,0.0125,33.7996,0,Mar,2,5,2,3,New_Visitor,FALSE,TRUE
2,38,0,0,14,643,0,0.0133333,35.0928,0,Mar,2,2,5,1,Returning_Visitor,FALSE,TRUE
0,0,0,0,16,2337,0,0.0133333,17.7627,0,Mar,2,2,1,1,Returning_Visitor,FALSE,TRUE
16,155.631,0,0,32,908.013,0.005,0.0180528,4.36852,0,Mar,2,2,3,2,Returning_Visitor,FALSE,TRUE
1,158,1,64,29,1916.76,0.00645161,0.0187097,8.77247,0,Mar,2,2,3,2,Returning_Visitor,TRUE,TRUE
0,0,0,0,63,5220.08,0,0.00332986,51.4633,0,Mar,2,5,3,1,Returning_Visitor,TRUE,TRUE
4,15,0,0,10,197.2,0,0.0166667,38.99,0,Mar,1,1,1,3,Returning_Visitor,TRUE,TRUE
0,0,0,0,11,300.071,0,0.02,53.9892,0,Mar,2,2,1,11,Returning_Visitor,TRUE,TRUE
2,8,1,14.3333,14,603.667,0,0.0125,44.6792,0,Mar,2,2,1,7,Returning_Visitor,FALSE,TRUE
0,0,0,0,13,328.917,0,0.0142857,59.7901,0,Mar,3,2,1,3,Returning_Visitor,FALSE,TRUE
1,38,0,0,23,1483.6,0.0229167,0.038373,7.10302,0,Mar,3,2,6,1,Returning_Visitor,FALSE,TRUE
0,0,1,9,30,1992.83,0,0.00333333,9.227,0,Mar,2,4,1,3,Returning_Visitor,FALSE,TRUE
3,618,0,0,9,341,0,0.00769231,34.436,0,Mar,2,2,9,3,New_Visitor,FALSE,TRUE
2,102.5,3,60,22,1034.97,0,0.014,16.1438,0,Mar,1,1,4,2,Returning_Visitor,FALSE,TRUE
6,71.5,0,0,47,1532.2,0.00992908,0.0197974,27.2689,0,Mar,2,2,1,1,Returning_Visitor,FALSE,TRUE
7,191.2,4,654.333,31,1204.6,0.000854701,0.0133425,11.9201,0,Mar,2,2,7,2,Returning_Visitor,FALSE,TRUE
2,47,0,0,39,1743.37,0,0.0164103,78.9348,0,Mar,3,3,2,1,Returning_Visitor,FALSE,TRUE
8,237.5,4,142,30,1569.62,0,0.00810811,15.8891,0,Mar,1,2,1,9,Returning_Visitor,TRUE,TRUE
0,0,2,39,15,245,0,0.0125,11.9955,0,Mar,2,2,1,3,Returning_Visitor,TRUE,TRUE
4,74,2,629,149,5042.46,0.00387097,0.00728512,18.368,0,Mar,2,2,1,2,Returning_Visitor,FALSE,TRUE
0,0,0,0,17,766.5,0,0.0125,61.9395,0,Mar,2,2,1,2,New_Visitor,TRUE,TRUE
4,100.3,0,0,66,2868.13,0.0114286,0.0172597,9.16235,0,Mar,3,2,1,1,Returning_Visitor,FALSE,TRUE
14,416.393,6,449.333,258,11301.2,0,0.00742538,33.6118,0,Mar,2,4,9,2,Returning_Visitor,FALSE,TRUE
0,0,1,0,51,2122.66,0,0.00705128,9.29478,0,Mar,2,2,1,10,Returning_Visitor,FALSE,TRUE
6,99.6059,0,0,83,2585.62,0,0.00761877,6.87131,0,Mar,2,2,2,2,Returning_Visitor,FALSE,TRUE
3,68,1,103,10,808.5,0,0.0153846,35.9926,0,Mar,2,2,3,7,Returning_Visitor,TRUE,TRUE
1,34,0,0,7,179,0,0.0285714,53.1343,0,Mar,2,4,2,8,New_Visitor,FALSE,TRUE
6,176.25,12,404,41,2720.67,0.012963,0.0332621,8.83383,0,Mar,2,2,2,2,Returning_Visitor,TRUE,TRUE
6,523.214,2,263,48,2309.73,0.00384615,0.0149038,10.6009,0,Mar,2,2,3,1,Returning_Visitor,FALSE,TRUE
3,118.667,0,0,17,694,0.0037037,0.00833333,27.4514,0,Mar,3,2,1,2,Returning_Visitor,TRUE,TRUE
3,92.8333,0,0,24,463.817,0.00266667,0.0153333,17.8423,0,Mar,1,1,1,2,Returning_Visitor,FALSE,TRUE
0,0,0,0,37,1643.44,0.00555556,0.0322712,2.18872,0,Mar,2,4,3,2,Returning_Visitor,TRUE,TRUE
0,0,0,0,27,1070.46,0,0.00740741,57.7294,0,Mar,2,2,3,2,Returning_Visitor,FALSE,TRUE
17,754.109,2,77,31,1021.62,0.00454545,0.0264791,2.08053,0,Mar,1,1,3,2,Returning_Visitor,FALSE,TRUE
0,0,0,0,45,1594.28,0,0.0152273,45.4317,0,Mar,2,2,1,2,Returning_Visitor,TRUE,TRUE
2,47,0,0,21,825.083,0,0.00909091,10.793,0,Mar,2,2,2,2,New_Visitor,FALSE,TRUE
5,134.929,2,41,31,2013.6,0,0.0141414,8.48273,0,Mar,2,2,8,2,Returning_Visitor,FALSE,TRUE
2,45.4444,1,40.6667,57,851.643,0,0.0079235,3.07784,0,Mar,2,4,3,1,Returning_Visitor,TRUE,TRUE
1,72.6667,4,345,24,879.909,0,0.0358974,6.4828,0,Mar,2,4,4,1,Returning_Visitor,FALSE,TRUE
5,100.917,0,0,56,1432.22,0,0.00218579,69.4304,0,Mar,2,2,3,3,Returning_Visitor,TRUE,TRUE
3,49.5,1,29.5,45,1545.5,0,0.004,20.9714,0,Mar,2,4,3,8,Returning_Visitor,TRUE,TRUE
6,96.8571,0,0,28,672.545,0,0.0207071,19.7147,0,Mar,1,1,2,10,Returning_Visitor,FALSE,TRUE
19,402.186,4,116,64,3179.35,0.00253165,0.0162899,4.642,0,Mar,2,2,2,2,Returning_Visitor,FALSE,TRUE
4,359.3,4,407,69,5485.11,0.0105263,0.0174937,4.49474,0,Mar,1,1,2,1,Returning_Visitor,TRUE,TRUE
0,0,1,81,82,3214.02,0,0.00772358,4.66708,0,Mar,3,3,2,10,Returning_Visitor,FALSE,TRUE
0,0,0,0,50,1803.77,0.00136054,0.0174283,3.6094,0,Mar,2,4,7,3,Returning_Visitor,TRUE,TRUE
6,171.083,0,0,28,952.286,0,0.0133333,52.1082,0,Mar,2,2,1,2,Returning_Visitor,FALSE,TRUE
0,0,0,0,14,510.5,0,0.0153846,31.3094,0,Mar,2,2,1,2,New_Visitor,FALSE,TRUE
6,262.25,3,298,49,2302.02,0.000308642,0.0265918,43.3616,0,Mar,1,1,1,2,Returning_Visitor,FALSE,TRUE
6,437.391,2,235.55,83,2503.88,0.0021978,0.00491614,2.08622,0,Mar,2,2,3,2,Returning_Visitor,FALSE,TRUE
3,16.3333,0,0,23,505.583,0.008,0.03,9.15008,0,Mar,4,1,1,2,Returning_Visitor,FALSE,TRUE
4,15,1,17,17,490,0,0.0272727,15.6645,0,Mar,2,2,4,10,Returning_Visitor,FALSE,TRUE
3,74,2,26,53,893.511,0.00357143,0.00535714,44.612,0,Mar,1,1,4,9,Returning_Visitor,TRUE,TRUE
7,301.7,6,336.5,42,1981.02,0.00566038,0.0213836,13.0018,0,Mar,1,1,2,2,Returning_Visitor,TRUE,TRUE
0,0,0,0,22,1310.5,0.00952381,0.0285714,23.8636,0,Mar,2,2,1,1,Returning_Visitor,FALSE,TRUE
5,117.833,0,0,35,502.548,0.0102564,0.0369231,3.14862,0,Mar,2,2,2,2,Returning_Visitor,FALSE,TRUE
4,64.3333,1,13,27,1433.92,0,0.0182266,3.69134,0,Mar,1,4,1,8,New_Visitor,FALSE,TRUE
8,492.417,4,384,52,4699.28,0.00725807,0.0182335,11.1077,0,Mar,2,2,1,2,Returning_Visitor,FALSE,TRUE
0,0,0,0,8,349.5,0,0.0285714,25.188,0,Mar,1,2,1,8,New_Visitor,FALSE,TRUE
6,352.5,0,0,21,696.667,0,0.0125,75.0678,0,Mar,2,2,6,10,New_Visitor,TRUE,TRUE
0,0,0,0,10,316.5,0,0.025,17.538,0,Mar,2,4,1,8,New_Visitor,TRUE,TRUE
1,47,0,0,5,388,0,0.04,31.188,0,Mar,1,1,7,3,Returning_Visitor,TRUE,TRUE
0,0,0,0,10,253.5,0,0.0222222,63.588,0,Mar,1,1,1,2,New_Visitor,TRUE,TRUE
3,152.5,5,243.5,43,3065.95,0,0.0116667,3.31108,0,Mar,1,2,1,1,Returning_Visitor,TRUE,TRUE
4,167.5,0,0,22,869.9,0,0.0263889,33.5333,0,Mar,2,6,4,10,Returning_Visitor,FALSE,TRUE
0,0,0,0,13,323.917,0,0.00833333,35.8371,0,Mar,1,1,4,10,Returning_Visitor,FALSE,TRUE
11,247.333,2,369,90,7221,0.00103093,0.00391753,13.4641,0,Mar,2,2,3,8,Returning_Visitor,FALSE,TRUE
1,16,0,0,27,1240.92,0,0.00925926,28.3934,0,Mar,2,2,3,1,Returning_Visitor,FALSE,TRUE
1,37,0,0,12,663.5,0,0.0166667,10.8343,0,Mar,3,2,6,8,New_Visitor,FALSE,TRUE
3,26,0,0,19,576.083,0.00909091,0.0181818,30.6505,0,Mar,2,2,2,1,Returning_Visitor,TRUE,TRUE
1,123,0,0,7,181.5,0,0.025,64.7325,0,Mar,2,2,1,2,New_Visitor,TRUE,TRUE
5,72.5,0,0,31,649.307,0,0.00104167,35.1038,0,Mar,2,7,2,2,Returning_Visitor,TRUE,TRUE
1,21,1,61,49,1647.15,0,0.0008,144.393,0,Mar,2,2,7,2,Returning_Visitor,TRUE,TRUE
2,35,0,0,20,979.083,0,0.00952381,60.0455,0,Mar,2,2,3,2,Returning_Visitor,FALSE,TRUE
6,160.095,3,94.5,47,1682.87,0.00133333,0.00789143,5.69864,0,Mar,3,2,6,10,Returning_Visitor,FALSE,TRUE
6,60,2,61,23,1031.7,0,0.00711111,33.1479,0,Mar,4,2,9,10,Returning_Visitor,TRUE,TRUE
0,0,3,300,13,509.121,0.00666667,0.00222222,40.7932,0,Mar,3,2,7,2,Returning_Visitor,TRUE,TRUE
1,112,0,0,37,2043.5,0.00555556,0.0166667,12.3578,0,Mar,2,5,3,6,Returning_Visitor,FALSE,TRUE
10,117.333,0,0,28,631.99,0.0176471,0.0227941,10.1652,0,Mar,3,7,1,2,Returning_Visitor,FALSE,TRUE
1,0,0,0,16,1296.6,0.0222222,0.0333333,13.2836,0,Mar,3,2,4,2,Returning_Visitor,FALSE,TRUE
0,0,1,42,20,408.333,0,0.0031746,33.4778,0,Mar,2,4,7,2,Returning_Visitor,FALSE,TRUE
0,0,0,0,30,1224.75,0,0.00714286,21.0486,0,Mar,2,4,2,2,New_Visitor,FALSE,TRUE
9,204.083,0,0,63,3552.7,0,0.007,19.9557,0,Mar,1,2,8,8,New_Visitor,FALSE,TRUE
2,151,0,0,19,716.357,0.0047619,0.015873,10.8693,0,Mar,1,1,7,1,Returning_Visitor,TRUE,TRUE
6,52,1,24,56,3763.17,0.00338983,0.0148023,10.3704,0,Mar,2,2,1,1,Returning_Visitor,FALSE,TRUE
4,600.423,0,0,17,1883.83,0.00075188,0.0130613,0.1207,0,Mar,2,2,1,8,Returning_Visitor,FALSE,TRUE
2,152.833,0,0,20,791.667,0.0111111,0.0166667,41.3501,0,Mar,1,1,1,2,New_Visitor,FALSE,TRUE
0,0,0,0,6,495,0,0.02,77.96,0,Mar,1,2,9,2,Returning_Visitor,TRUE,TRUE
9,160,0,0,48,3946.01,0.00727273,0.0115152,20.3239,0,Mar,2,6,1,8,Returning_Visitor,TRUE,TRUE
3,91,2,338,11,451,0,0.00666667,45.7504,0,Mar,2,2,1,10,New_Visitor,FALSE,TRUE
0,0,0,0,6,546,0,0.04,35.49,0,Mar,2,2,3,1,Returning_Visitor,FALSE,TRUE
6,136.556,0,0,59,3224.82,0.00298508,0.0119237,8.56743,0,Mar,2,4,2,2,Returning_Visitor,TRUE,TRUE
